Area (µm^2);Equivalent circular diameter (µm);Class;;3-D diameter (µm);;;;;;;;;
122170,1663;394,400668;Others;;639,3782802;;;;;;;;;
153618,1329;442,2586139;Others;;716,9626598;;;;;;;;;
82096,4718;323,3086364;Others;;524,1282196;;;;;;;;;
135502,7218;415,3642062;Others;;673,3630883;;;;;;;;;
187996,6352;489,2491699;Others;;793,1408798;;;;;;;;;
172251,917;468,3139464;Others;;759,2019738;;;;;;;;;
79034,61484;317,2223148;Others;;514,2614466;;;;;;;;;
50475,71422;253,5107008;Others;;410,9760683;;;;;;;;;
41794,69313;230,6830207;Others;;373,9692273;;;;;;;;;
91689,82951;341,6769187;Others;;553,9057572;;;;;;;;;
47918,40705;247,0052849;Others;;400,4298854;;;;;;;;;
118838,7554;388,9861216;Others;;630,6005481;;;;;;;;;
39665,9077;224,7314003;Others;;364,3208236;;;;;;;;;
34074,39013;208,2903286;Others;;337,6675621;;;;;;;;;
229383,5415;540,4259394;Others;;876,1055336;;;;;;;;;
54062,8559;262,3641859;Others;;425,3287977;;;;;;;;;
83921,14502;326,8818142;Others;;529,9208373;;;;;;;;;
68528,92052;295,3874262;Others;;478,8640585;;;;;;;;;
47545,17844;246,0414627;Others;;398,8673956;;;;;;;;;
42271,59636;231,9954053;Others;;376,0967851;;;;;;;;;
129524,1523;406,0976148;Others;;658,3406561;;;;;;;;;
101366,1269;359,2538953;Others;;582,4004784;;;;;;;;;
107932,1859;370,7067941;Others;;600,9672186;;;;;;;;;
115825,2799;384,02256;Others;;622,5539253;;;;;;;;;
27881,55979;188,4141834;Others;;305,4455692;;;;;;;;;
188895,1485;490,4169378;Others;;795,0339939;;;;;;;;;
155608,6855;445,1147401;Others;;721,5928372;;;;;;;;;
34461,44203;209,4699758;Others;;339,5799341;;;;;;;;;
120746,3683;392,0957166;Others;;635,6416337;;;;;;;;;
95200,94313;348,1574435;Others;;564,4115884;;;;;;;;;
97606,1942;352,5281071;Others;;571,4970412;;;;;;;;;
230109,2638;541,2801625;Others;;877,4903479;;;;;;;;;
56571,78159;268,3829902;Others;;435,0861158;;;;;;;;;
94571,9838;347,0054605;Others;;562,5440638;;;;;;;;;
78281,24597;315,7067911;Others;;511,8045722;;;;;;;;;
137818,1215;418,8979378;Others;;679,0917582;;;;;;;;;
94827,71452;347,4743099;Others;;563,3041339;;;;;;;;;
25303,5177;179,4921707;Others;;290,9817471;;;;;;;;;
96991,05815;351,4154959;Others;;569,6933438;;;;;;;;;
56281,49266;267,6935227;Others;;433,9683932;;;;;;;;;
133781,7232;412,7180398;Others;;669,0732848;;;;;;;;;
55908,26405;266,8044465;Others;;432,5270771;;;;;;;;;
87805,48726;334,3612098;Others;;542,0459767;;;;;;;;;
895486,0312;1067,786602;Others;;1731,030438;;;;;;;;;
148586,4582;434,9553476;Others;;705,1230504;;;;;;;;;
378640,4289;694,3341899;Others;;1125,612191;;;;;;;;;
230724,3999;542,003164;Others;;878,6624339;;;;;;;;;
263782,7788;579,5331441;Others;;939,503746;;;;;;;;;
771055,7583;990,8272719;Others;;1606,268672;;;;;;;;;
243752,8431;557,0958257;Others;;903,1297354;;;;;;;;;
250000,9666;564,1906743;Others;;914,6314706;;;;;;;;;
173136,6071;469,5150421;Others;;761,1491168;;;;;;;;;
777877,548;995,2007109;Others;;1613,358624;;;;;;;;;
222333,6677;532,0564047;Others;;862,5373551;;;;;;;;;
488390,3763;788,5670171;Others;;1278,376697;;;;;;;;;
79843,27683;318,8410536;Others;;516,8856471;;;;;;;;;
774767,3095;993,2091303;Others;;1610,129995;;;;;;;;;
76560,24736;312,2171272;Others;;506,147342;;;;;;;;;
106992,2027;369,0890183;Others;;598,3445793;;;;;;;;;
138723,5465;420,271704;Others;;681,3188241;;;;;;;;;
77520,96546;314,169952;Others;;509,3131425;;;;;;;;;
118576,113;388,5560399;Others;;629,903326;;;;;;;;;
81571,18708;322,2726503;Others;;522,4487421;;;;;;;;;
35429,07177;212,3904311;Others;;344,3143979;;;;;;;;;
26582,17129;183,9713882;Others;;298,2431809;;;;;;;;;
37461,09422;218,3963062;Others;;354,0507559;;;;;;;;;
148683,2212;435,0969511;Others;;705,3526094;;;;;;;;;
215622,4643;523,9647395;Others;;849,4196415;;;;;;;;;
53309,48703;260,529743;Others;;422,354911;;;;;;;;;
65909,40858;289,6868402;Others;;469,6226165;;;;;;;;;
31454,87819;200,1239486;Others;;324,4287255;;;;;;;;;
37965,64401;219,862137;Others;;356,4270714;;;;;;;;;
155048,8426;444,3133103;Others;;720,2936081;;;;;;;;;
45851,82639;241,6202776;Others;;391,7000403;;;;;;;;;
113682,6712;380,4540347;Others;;616,7688498;;;;;;;;;
134673,3249;414,0910562;Others;;671,2991353;;;;;;;;;
78239,77612;315,6231565;Others;;511,6689888;;;;;;;;;
48277,81239;247,9298688;Others;;401,9287643;;;;;;;;;
80596,6457;320,3417495;Others;;519,3184837;;;;;;;;;
47427,68054;245,7372548;Others;;398,3742323;;;;;;;;;
115078,8227;382,783108;Others;;620,5446013;;;;;;;;;
71535,48435;301,7976268;Others;;489,2558842;;;;;;;;;
35318,48551;212,0587004;Others;;343,7766164;;;;;;;;;
69399,78728;297,2583953;Others;;481,8971593;;;;;;;;;
24218,39006;175,6012868;Others;;284,6740837;;;;;;;;;
72724,2866;304,2949845;Others;;493,304448;;;;;;;;;
27598,18251;187,454254;Others;;303,8893903;;;;;;;;;
325455,3514;643,7255809;Others;;1043,568605;;;;;;;;;
97944,86461;353,139172;Others;;572,4876624;;;;;;;;;
106798,6767;368,7550658;Others;;597,8031958;;;;;;;;;
99976,88707;356,7835845;Others;;578,3957614;;;;;;;;;
